ESRS,Nachhaltigkeitsaspekt,Themen,Unterthemen
E1,Klimawandel,Anpassung an den Klimawandel,
E1,Klimawandel,Eindämmung des Klimawandels,
E1,Klimawandel,Energie,
E2,Verschmutzung,Luftverschmutzung,
E2,Verschmutzung,Wasserverschmutzung,
E2,Verschmutzung,Bodenverschmutzung,
E2,Verschmutzung,Verschmutzung lebender Organismen und Nahrungsressourcen,
E2,Verschmutzung,Verschmutzung: Bedenkliche Stoffe,
E2,Verschmutzung,Verschmutzung: Sehr bedenkliche Stoffe,
E3,Wasser- und Meeresressourcen,Wasserentnahmen,
E3,Wasser- und Meeresressourcen,Wasserverbrauch,
E3,Wasser- und Meeresressourcen,Wassernutzung,
E3,Wasser- und Meeresressourcen,Wassereinleitungen in Gewässer und in die Ozeane,
E3,Wasser- und Meeresressourcen,Verschlechterung der Wasser-/Meereshabitate und Intensität des Einflusses auf die Meeresressourcen,
E4,Biodiversität und Ökosysteme,Verlust der biologischen Vielfalt,
E4,Biodiversität und Ökosysteme,Auswirkungen auf den Zustand der Arten,
E4,Biodiversität und Ökosysteme,Auswirkungen auf und Abhängigkeiten von Ökosystemleistungen,
E5,Kreislaufwirtschaft,"Ressourcenzuflüsse, einschließlich Ressourcennutzung",
E5,Kreislaufwirtschaft,Ressourcenabflüsse in Bezug auf Produkte und Dienstleistungen,
E5,Kreislaufwirtschaft,Abfall,
